listing_id;available;count
775655;f;8
775655;t;357
776288;f;291
776288;t;74
778820;f;365
779175;f;58
779175;t;307
779297;f;365
780674;f;348
780674;t;17
780873;f;365
781253;f;365
782254;f;315
782254;t;50
784277;f;365
784644;f;365
785432;f;117
785432;t;248
787331;f;117
787331;t;248
789630;f;176
789630;t;189
793845;f;120
793845;t;245
794322;f;238
794322;t;127
794927;f;116
794927;t;249
798189;f;365
798941;f;365
800723;f;133
800723;t;232
801544;f;358
801544;t;7
802052;f;46
802052;t;319
810730;f;364
810730;t;1
816940;f;365
818085;f;39
818085;t;326
818881;f;219
818881;t;146
820692;f;365
823448;f;365
829306;f;365
833641;f;296
833641;t;69
833975;f;365
834156;f;365
834233;f;184
834233;t;181
835550;f;365
835627;f;365
840346;f;365
840628;f;365
842774;f;174
842774;t;191
846458;f;365
847093;f;130
847093;t;235
847730;f;365
849993;f;365
851044;f;169
851044;t;196
853645;f;365
854328;f;234
854328;t;131
859346;t;365
862411;f;178
862411;t;187
862432;f;365
863877;f;365
865328;f;67
865328;t;298
866523;f;365
870225;f;365
870342;t;365
874057;f;365
874076;f;59
874076;t;306
874340;f;38
874340;t;327
874688;f;296
874688;t;69
877702;f;100
877702;t;265
879986;f;50
879986;t;315
884070;f;30
884070;t;335
884329;f;57
884329;t;308
886192;f;361
886192;t;4
886606;f;28
886606;t;337
890288;f;264
890288;t;101
891337;t;365
892937;f;116
892937;t;249
893203;f;365
895684;f;96
895684;t;269
895792;f;365
896368;f;365
901789;f;365
906446;f;27
906446;t;338
907742;f;323
907742;t;42
916096;f;155
916096;t;210
916850;f;65
916850;t;300
917851;f;365
917955;f;365
919131;f;365
920560;f;115
920560;t;250
920865;f;276
920865;t;89
923247;f;365
927119;f;23
927119;t;342
929281;f;365
931270;f;69
931270;t;296
932227;f;275
932227;t;90
933523;f;337
933523;t;28
933737;f;365
934060;f;214
934060;t;151
937635;f;365
939211;f;329
939211;t;36
939698;f;116
939698;t;249
940146;f;208
940146;t;157
941407;f;365
946142;f;68
946142;t;297
947437;f;54
947437;t;311
951483;f;316
951483;t;49
953086;f;365
954629;f;365
954633;f;19
954633;t;346
957396;f;146
957396;t;219
961082;f;365
963328;f;361
963328;t;4
964986;t;365
969862;f;2
969862;t;363
974240;f;188
974240;t;177
978852;f;352
978852;t;13
982907;f;318
982907;t;47
987355;f;8
987355;t;357
995087;f;64
995087;t;301
996112;f;365
996860;t;365
998754;f;360
998754;t;5
998822;f;365
1005026;f;82
1005026;t;283
1005695;f;86
1005695;t;279
1006621;t;365
1008006;f;15
1008006;t;350
1008223;f;58
1008223;t;307
1018639;f;365
1018703;f;212
1018703;t;153
1019936;f;365
1020477;f;365
1020573;f;84
1020573;t;281
1021144;f;364
1021144;t;1
1021278;f;357
1021278;t;8
1021538;f;300
1021538;t;65
1025482;f;61
1025482;t;304
1030014;f;365
1035801;f;365
1036888;f;146
1036888;t;219
1037485;f;365
1038120;f;3
1038120;t;362
1040669;f;365
1041309;f;358
1041309;t;7
1041923;f;365
1043348;f;147
1043348;t;218
1043948;f;365
1044090;f;365
1044448;f;33
1044448;t;332
1044452;f;125
1044452;t;240
1047746;f;116
1047746;t;249
1051514;f;126
1051514;t;239
1054715;f;365
1055703;f;95
1055703;t;270
1057494;f;302
1057494;t;63
1064108;f;91
1064108;t;274
1068565;f;12
1068565;t;353
1069142;f;11
1069142;t;354
1071414;f;54
1071414;t;311
1071421;f;365
1072171;f;115
1072171;t;250
1076673;f;102
1076673;t;263
1081307;f;317
1081307;t;48
1081452;f;116
1081452;t;249
1082688;f;365
1086763;f;269
1086763;t;96
1086795;f;195
1086795;t;170
1088859;f;324
1088859;t;41
1089874;f;365
1095819;f;365
1095913;f;365
1099036;f;365
1100569;f;54
1100569;t;311
1102657;f;365
1102846;f;363
1102846;t;2
1104125;f;365
1105128;f;21
1105128;t;344
1105924;f;364
1105924;t;1
1106466;f;27
1106466;t;338
1109494;f;96
1109494;t;269
1113862;f;365
1114384;f;365
1116446;f;274
1116446;t;91
1120077;f;365
1129677;f;365
1132247;f;1
1132247;t;364
1134823;f;365
1134916;f;278
1134916;t;87
1145140;f;365
1145866;f;273
1145866;t;92
1146192;f;365
1149289;f;3
1149289;t;362
1149380;f;25
1149380;t;340
1149694;f;365
1155251;f;73
1155251;t;292
1155386;f;80
1155386;t;285
1156220;f;365
1158662;f;301
1158662;t;64
1162769;f;117
1162769;t;248
1169992;f;358
1169992;t;7
1173892;f;365
1174506;f;339
1174506;t;26
1181225;f;365
1182421;f;357
1182421;t;8
1182522;f;365
1184777;f;360
1184777;t;5
1187004;f;365
1188058;f;365
1188323;f;365
1193782;f;365
1195666;f;278
1195666;t;87
1196088;f;206
1196088;t;159
1196309;f;2
1196309;t;363
1197874;f;276
1197874;t;89
1199113;f;365
1200768;f;365
1201952;f;365
1205718;f;365
1205976;f;115
1205976;t;250
1209533;f;365
1223171;f;24
1223171;t;341
1225622;f;296
1225622;t;69
1230403;f;365
1232048;f;20
1232048;t;345
1233749;f;188
1233749;t;177
1236227;f;108
1236227;t;257
1237639;t;365
1238409;f;31
1238409;t;334
1238420;t;365
1246242;f;328
1246242;t;37
1250364;f;118
1250364;t;247
1250716;f;365
1251811;f;347
1251811;t;18
1251940;f;365
1252179;f;365
1256281;f;363
1256281;t;2
1260229;f;365
1261457;f;116
1261457;t;249
1262157;f;42
1262157;t;323
1265244;f;365
1267645;f;365
1271700;f;263
1271700;t;102
1272351;f;365
1272352;f;156
1272352;t;209
1277443;f;365
1279735;f;357
1279735;t;8
1283694;f;365
1286810;f;365
1289593;f;365
1291054;f;114
1291054;t;251
1294092;f;93
1294092;t;272
1298851;f;109
1298851;t;256
1299402;f;116
1299402;t;249
1302771;f;361
1302771;t;4
